Corridor,Released_Loads,Cars_Enroute,Cars_Dwelling,Cars_Entering,snapshotdate,Date
Vancouver,0,102,0,102,2016-08-01,2016-07-30
Vancouver,0,217,0,217,2016-08-01,2016-07-30
Vancouver,0,217,0,0,2016-08-02,2016-07-31
Western Canada,0,4,0,4,2016-08-02,2016-07-31
Vancouver,0,217,0,0,2016-08-03,2016-08-01
Western Canada,0,4,0,0,2016-08-03,2016-08-01
Vancouver,0,222,0,5,2016-08-04,2016-08-02
Western Canada,0,4,0,0,2016-08-04,2016-08-02
Vancouver,0,237,1,15,2016-08-05,2016-08-03
Western Canada,0,4,0,0,2016-08-05,2016-08-03
Vancouver,2,235,1,0,2016-08-06,2016-08-04
Western Canada,0,4,4,0,2016-08-06,2016-08-04
Vancouver,2,235,78,0,2016-08-07,2016-08-05
Western Canada,0,4,4,0,2016-08-07,2016-08-05
Vancouver,2,334,102,99,2016-08-08,2016-08-06
Western Canada,0,4,4,0,2016-08-08,2016-08-06
Vancouver,2,334,105,0,2016-08-09,2016-08-07
Western Canada,0,4,4,0,2016-08-09,2016-08-07
Vancouver,2,348,214,14,2016-08-10,2016-08-08
Western Canada,0,4,3,0,2016-08-10,2016-08-08
Vancouver,2,348,214,0,2016-08-11,2016-08-09
Western Canada,0,5,3,1,2016-08-11,2016-08-09
Vancouver,0,348,313,0,2016-08-12,2016-08-10
Western Canada,0,5,3,0,2016-08-12,2016-08-10
Vancouver,0,348,215,0,2016-08-13,2016-08-11
Western Canada,0,5,3,0,2016-08-13,2016-08-11
Vancouver,0,271,142,0,2016-08-14,2016-08-12
Western Canada,0,5,4,0,2016-08-14,2016-08-12
Prince Rupert,207,549,0,549,2016-08-15,2016-08-13
Vancouver,610,2188,92,1971,2016-08-15,2016-08-13
Western Canada,0,25,5,20,2016-08-15,2016-08-13
Prince Rupert,414,516,0,26,2016-08-16,2016-08-14
Vancouver,1133,2445,89,735,2016-08-16,2016-08-14
Western Canada,0,26,5,1,2016-08-16,2016-08-14
Prince Rupert,210,618,0,102,2016-08-17,2016-08-15
Vancouver,1150,2826,21,1031,2016-08-17,2016-08-15
Western Canada,0,26,5,0,2016-08-17,2016-08-15
Prince Rupert,248,442,0,52,2016-08-18,2016-08-16
Vancouver,1140,3104,24,813,2016-08-18,2016-08-16
Western Canada,0,26,5,0,2016-08-18,2016-08-16
Prince Rupert,481,415,0,208,2016-08-19,2016-08-17
Vancouver,1171,3476,72,890,2016-08-19,2016-08-17
Western Canada,0,77,25,51,2016-08-19,2016-08-17
Prince Rupert,259,461,0,67,2016-08-20,2016-08-18
Vancouver,1060,3770,77,749,2016-08-20,2016-08-18
Western Canada,0,99,25,22,2016-08-20,2016-08-18
Prince Rupert,21,461,0,0,2016-08-21,2016-08-19
Vancouver,907,3694,199,336,2016-08-21,2016-08-19
Western Canada,0,104,25,5,2016-08-21,2016-08-19
Prince Rupert,179,282,0,0,2016-08-22,2016-08-20
Vancouver,1211,3497,330,482,2016-08-22,2016-08-20
Western Canada,0,104,25,0,2016-08-22,2016-08-20
Prince Rupert,332,181,0,52,2016-08-23,2016-08-21
Vancouver,1410,3534,288,702,2016-08-23,2016-08-21
Western Canada,0,162,1,58,2016-08-23,2016-08-21
Prince Rupert,178,279,1,99,2016-08-24,2016-08-22
Vancouver,1487,3680,295,727,2016-08-24,2016-08-22
Western Canada,0,148,0,10,2016-08-24,2016-08-22
Prince Rupert,103,244,1,0,2016-08-25,2016-08-23
Vancouver,1393,3560,255,461,2016-08-25,2016-08-23
Western Canada,0,105,0,0,2016-08-25,2016-08-23
Prince Rupert,163,409,1,249,2016-08-26,2016-08-24
Vancouver,1053,4083,298,985,2016-08-26,2016-08-24
Western Canada,0,106,0,1,2016-08-26,2016-08-24
Prince Rupert,87,421,1,12,2016-08-27,2016-08-25
Vancouver,865,4591,324,907,2016-08-27,2016-08-25
Western Canada,0,106,0,0,2016-08-27,2016-08-25
Prince Rupert,0,421,1,0,2016-08-28,2016-08-26
Vancouver,995,4632,370,619,2016-08-28,2016-08-26
Western Canada,0,106,0,0,2016-08-28,2016-08-26
Prince Rupert,180,319,1,0,2016-08-29,2016-08-27
Vancouver,1152,4577,314,521,2016-08-29,2016-08-27
Western Canada,0,28,1,0,2016-08-29,2016-08-27
Prince Rupert,277,248,2,0,2016-08-30,2016-08-28
Vancouver,1350,4656,463,770,2016-08-30,2016-08-28
Western Canada,0,2,1,0,2016-08-30,2016-08-28
Prince Rupert,248,107,1,9,2016-08-31,2016-08-29
Vancouver,1670,4186,354,417,2016-08-31,2016-08-29
Western Canada,0,2,1,0,2016-08-31,2016-08-29
Prince Rupert,154,182,1,78,2016-09-01,2016-08-30
Vancouver,1520,4757,181,1031,2016-09-01,2016-08-30
Western Canada,0,2,1,0,2016-09-01,2016-08-30
Prince Rupert,76,180,1,70,2016-09-02,2016-08-31
Vancouver,1207,5004,279,884,2016-09-02,2016-08-31
Western Canada,0,2,1,0,2016-09-02,2016-08-31
Prince Rupert,73,180,1,0,2016-09-03,2016-09-01
Vancouver,1381,5228,403,868,2016-09-03,2016-09-01
Western Canada,0,2,1,0,2016-09-03,2016-09-01
Prince Rupert,0,181,1,1,2016-09-04,2016-09-02
Vancouver,1340,4860,390,332,2016-09-04,2016-09-02
Western Canada,0,2,1,0,2016-09-04,2016-09-02
Prince Rupert,0,221,1,40,2016-09-05,2016-09-03
Vancouver,760,5280,492,453,2016-09-05,2016-09-03
Western Canada,0,1,0,0,2016-09-05,2016-09-03
Prince Rupert,113,211,0,103,2016-09-06,2016-09-04
Vancouver,868,5220,359,709,2016-09-06,2016-09-04
Western Canada,0,1,1,0,2016-09-06,2016-09-04
Prince Rupert,113,331,0,120,2016-09-07,2016-09-05
Vancouver,1503,5369,443,863,2016-09-07,2016-09-05
Western Canada,0,1,1,0,2016-09-07,2016-09-05
Prince Rupert,0,571,0,240,2016-09-08,2016-09-06
Vancouver,1496,5484,409,835,2016-09-08,2016-09-06
Western Canada,0,1,1,0,2016-09-08,2016-09-06
Prince Rupert,0,570,0,0,2016-09-09,2016-09-07
Vancouver,1753,5267,338,700,2016-09-09,2016-09-07
Western Canada,0,1,1,0,2016-09-09,2016-09-07
Prince Rupert,0,655,0,85,2016-09-10,2016-09-08
Vancouver,1662,5431,268,857,2016-09-10,2016-09-08
Western Canada,0,1,1,0,2016-09-10,2016-09-08
Prince Rupert,0,932,11,277,2016-09-11,2016-09-09
Vancouver,1625,4955,301,329,2016-09-11,2016-09-09
Western Canada,0,1,1,0,2016-09-11,2016-09-09
Prince Rupert,286,758,0,112,2016-09-12,2016-09-10
Vancouver,1840,4653,212,578,2016-09-12,2016-09-10
Western Canada,0,1,1,0,2016-09-12,2016-09-10
Prince Rupert,548,745,0,272,2016-09-13,2016-09-11
Vancouver,1895,4618,336,775,2016-09-13,2016-09-11
Prince Rupert,320,808,0,121,2016-09-14,2016-09-12
Vancouver,1878,4649,299,1027,2016-09-14,2016-09-12
Prince Rupert,286,865,1,285,2016-09-15,2016-09-13
Vancouver,1937,4569,304,718,2016-09-15,2016-09-13
Prince Rupert,358,839,1,104,2016-09-16,2016-09-14
Vancouver,1805,4789,144,1088,2016-09-16,2016-09-14
Prince Rupert,130,1067,1,228,2016-09-17,2016-09-15
Vancouver,1343,5291,127,807,2016-09-17,2016-09-15
Prince Rupert,105,1423,1,461,2016-09-18,2016-09-16
Vancouver,1096,5099,159,515,2016-09-18,2016-09-16
Prince Rupert,440,1155,1,66,2016-09-19,2016-09-17
Vancouver,1620,5311,137,1054,2016-09-19,2016-09-17
Prince Rupert,451,1354,1,315,2016-09-20,2016-09-18
Vancouver,1683,5001,184,496,2016-09-20,2016-09-18
Prince Rupert,426,1141,1,97,2016-09-21,2016-09-19
Vancouver,1626,4848,210,616,2016-09-21,2016-09-19
Prince Rupert,611,846,0,7,2016-09-22,2016-09-20
Vancouver,1578,5311,237,1244,2016-09-22,2016-09-20
Prince Rupert,609,585,0,46,2016-09-23,2016-09-21
Vancouver,1444,5949,366,1246,2016-09-23,2016-09-21
Prince Rupert,311,1027,1,445,2016-09-24,2016-09-22
Vancouver,1459,5763,441,669,2016-09-24,2016-09-22
Western Canada,0,1,0,1,2016-09-24,2016-09-22
Prince Rupert,90,1330,1,390,2016-09-25,2016-09-23
Vancouver,1658,5327,447,350,2016-09-25,2016-09-23
Western Canada,0,1,0,0,2016-09-25,2016-09-23
Prince Rupert,345,1312,1,240,2016-09-26,2016-09-24
Vancouver,1695,5348,380,848,2016-09-26,2016-09-24
Western Canada,0,1,0,0,2016-09-26,2016-09-24
Prince Rupert,460,1414,1,303,2016-09-27,2016-09-25
Vancouver,2036,5287,397,1022,2016-09-27,2016-09-25
Western Canada,0,1,0,0,2016-09-27,2016-09-25
Prince Rupert,467,1202,2,52,2016-09-28,2016-09-26
Vancouver,2071,5360,355,951,2016-09-28,2016-09-26
Western Canada,0,1,0,0,2016-09-28,2016-09-26
Prince Rupert,599,968,1,100,2016-09-29,2016-09-27
Vancouver,1836,5371,398,879,2016-09-29,2016-09-27
Western Canada,0,1,0,0,2016-09-29,2016-09-27
Prince Rupert,685,722,1,103,2016-09-30,2016-09-28
Vancouver,1913,5632,432,1138,2016-09-30,2016-09-28
Western Canada,0,1,0,0,2016-09-30,2016-09-28
Prince Rupert,464,905,2,296,2016-10-01,2016-09-29
Vancouver,1364,6144,424,941,2016-10-01,2016-09-29
Western Canada,0,1,0,0,2016-10-01,2016-09-29
Prince Rupert,235,1047,4,198,2016-10-02,2016-09-30
Vancouver,1298,6033,362,701,2016-10-02,2016-09-30
Western Canada,0,1,0,0,2016-10-02,2016-09-30
Prince Rupert,393,1074,2,299,2016-10-03,2016-10-01
Vancouver,1743,5790,467,626,2016-10-03,2016-10-01
Western Canada,0,1,0,0,2016-10-03,2016-10-01
Prince Rupert,447,1181,2,280,2016-10-04,2016-10-02
Vancouver,1635,5870,367,730,2016-10-04,2016-10-02
Western Canada,0,1,0,0,2016-10-04,2016-10-02
Prince Rupert,478,1158,2,277,2016-10-05,2016-10-03
Vancouver,1852,5803,507,1042,2016-10-05,2016-10-03
Western Canada,0,1,0,0,2016-10-05,2016-10-03
Prince Rupert,530,1254,2,325,2016-10-06,2016-10-04
Vancouver,2134,5424,640,620,2016-10-06,2016-10-04
Western Canada,0,1,0,0,2016-10-06,2016-10-04
Prince Rupert,428,1296,2,238,2016-10-07,2016-10-05
Vancouver,1691,5560,458,785,2016-10-07,2016-10-05
Western Canada,0,1,1,0,2016-10-07,2016-10-05
Prince Rupert,200,1502,0,212,2016-10-08,2016-10-06
Vancouver,1459,5861,635,1034,2016-10-08,2016-10-06
Western Canada,0,2,1,1,2016-10-08,2016-10-06
Prince Rupert,116,1599,0,208,2016-10-09,2016-10-07
Vancouver,1581,5702,483,680,2016-10-09,2016-10-07
Western Canada,0,2,1,0,2016-10-09,2016-10-07
Prince Rupert,332,1588,109,207,2016-10-10,2016-10-08
Vancouver,1561,5991,569,978,2016-10-10,2016-10-08
Western Canada,0,2,1,0,2016-10-10,2016-10-08
Prince Rupert,530,1362,6,82,2016-10-11,2016-10-09
Vancouver,1771,5610,608,569,2016-10-11,2016-10-09
Western Canada,0,2,1,0,2016-10-11,2016-10-09
Prince Rupert,640,1345,6,303,2016-10-12,2016-10-10
Vancouver,1999,5410,486,801,2016-10-12,2016-10-10
Western Canada,0,2,1,0,2016-10-12,2016-10-10
Prince Rupert,622,1149,6,101,2016-10-13,2016-10-11
Vancouver,1868,5529,475,912,2016-10-13,2016-10-11
Western Canada,0,2,1,0,2016-10-13,2016-10-11
Prince Rupert,629,1138,7,315,2016-10-14,2016-10-12
Vancouver,1756,6180,406,1538,2016-10-14,2016-10-12
Western Canada,0,1,0,0,2016-10-14,2016-10-12
Prince Rupert,431,1285,160,247,2016-10-15,2016-10-13
Vancouver,1240,6710,517,893,2016-10-15,2016-10-13
Western Canada,0,1,0,0,2016-10-15,2016-10-13
Prince Rupert,193,1606,108,410,2016-10-16,2016-10-14
Vancouver,1078,6484,494,452,2016-10-16,2016-10-14
Western Canada,0,1,0,0,2016-10-16,2016-10-14
Prince Rupert,266,1576,108,147,2016-10-17,2016-10-15
Vancouver,1318,6913,539,1066,2016-10-17,2016-10-15
Western Canada,0,1,0,0,2016-10-17,2016-10-15
Prince Rupert,473,1436,106,155,2016-10-18,2016-10-16
Vancouver,1358,6768,1536,625,2016-10-18,2016-10-16
Western Canada,0,1,1,0,2016-10-18,2016-10-16
Prince Rupert,558,1469,106,294,2016-10-19,2016-10-17
Vancouver,1734,6403,1050,592,2016-10-19,2016-10-17
Western Canada,0,1,1,0,2016-10-19,2016-10-17
Prince Rupert,487,1407,106,155,2016-10-20,2016-10-18
Vancouver,1869,6238,807,649,2016-10-20,2016-10-18
Western Canada,0,1,1,0,2016-10-20,2016-10-18
Prince Rupert,519,1417,106,312,2016-10-21,2016-10-19
Vancouver,1795,6252,748,869,2016-10-21,2016-10-19
Western Canada,5,2,1,1,2016-10-21,2016-10-19
Prince Rupert,305,1488,106,72,2016-10-22,2016-10-20
Vancouver,1663,6466,685,968,2016-10-22,2016-10-20
Western Canada,5,2,1,0,2016-10-22,2016-10-20
Prince Rupert,326,1405,106,102,2016-10-23,2016-10-21
Vancouver,2131,6336,472,903,2016-10-23,2016-10-21
Western Canada,0,2,1,0,2016-10-23,2016-10-21
Prince Rupert,475,1264,107,116,2016-10-24,2016-10-22
Vancouver,2176,6833,496,1293,2016-10-24,2016-10-22
Western Canada,0,2,1,0,2016-10-24,2016-10-22
Prince Rupert,693,1111,229,65,2016-10-25,2016-10-23
Vancouver,2001,6460,603,427,2016-10-25,2016-10-23
Western Canada,0,1,0,0,2016-10-25,2016-10-23
Prince Rupert,633,1010,72,152,2016-10-26,2016-10-24
Vancouver,2055,6308,606,553,2016-10-26,2016-10-24
Western Canada,9,1,0,0,2016-10-26,2016-10-24
Prince Rupert,658,1148,73,369,2016-10-27,2016-10-25
Vancouver,1820,6831,547,1284,2016-10-27,2016-10-25
Western Canada,9,1,0,0,2016-10-27,2016-10-25
Prince Rupert,712,1114,7,211,2016-10-28,2016-10-26
Vancouver,1764,6413,697,377,2016-10-28,2016-10-26
Western Canada,0,1,0,0,2016-10-28,2016-10-26
Prince Rupert,332,1427,7,317,2016-10-29,2016-10-27
Vancouver,1703,6723,769,928,2016-10-29,2016-10-27
Western Canada,0,1,0,0,2016-10-29,2016-10-27
Prince Rupert,305,1509,8,311,2016-10-30,2016-10-28
Vancouver,1959,6157,1145,474,2016-10-30,2016-10-28
Western Canada,47,1,0,0,2016-10-30,2016-10-28
Prince Rupert,495,1558,7,293,2016-10-31,2016-10-29
Vancouver,2221,5857,691,602,2016-10-31,2016-10-29
Western Canada,48,1,0,0,2016-10-31,2016-10-29
Prince Rupert,753,1400,7,106,2016-11-01,2016-10-30
Vancouver,2096,6245,660,1091,2016-11-01,2016-10-30
Western Canada,5,1,1,0,2016-11-01,2016-10-30
Prince Rupert,666,1205,6,100,2016-11-02,2016-10-31
Vancouver,2036,5971,603,458,2016-11-02,2016-10-31
Western Canada,5,1,1,0,2016-11-02,2016-10-31
Prince Rupert,756,1242,6,306,2016-11-03,2016-11-01
Vancouver,1943,5823,411,709,2016-11-03,2016-11-01
Western Canada,0,1,1,0,2016-11-03,2016-11-01
Prince Rupert,756,1279,7,236,2016-11-04,2016-11-02
Vancouver,1954,6076,525,1100,2016-11-04,2016-11-02
Western Canada,0,1,1,0,2016-11-04,2016-11-02
Prince Rupert,283,1295,7,16,2016-11-05,2016-11-03
Vancouver,1822,6189,485,713,2016-11-05,2016-11-03
Western Canada,0,1,1,0,2016-11-05,2016-11-03
Prince Rupert,134,1477,132,202,2016-11-06,2016-11-04
Vancouver,1672,5794,484,347,2016-11-06,2016-11-04
Western Canada,0,1,1,0,2016-11-06,2016-11-04
Prince Rupert,282,1337,129,116,2016-11-07,2016-11-05
Vancouver,1887,5692,440,796,2016-11-07,2016-11-05
Western Canada,0,1,1,0,2016-11-07,2016-11-05
Prince Rupert,596,1227,105,204,2016-11-08,2016-11-06
Vancouver,1780,5854,626,781,2016-11-08,2016-11-06
Prince Rupert,705,1073,76,105,2016-11-09,2016-11-07
Vancouver,2058,5365,546,468,2016-11-09,2016-11-07
Prince Rupert,605,1263,96,292,2016-11-10,2016-11-08
Vancouver,2054,5480,428,969,2016-11-10,2016-11-08
Prince Rupert,453,1448,96,369,2016-11-11,2016-11-09
Vancouver,2103,5282,411,701,2016-11-11,2016-11-09
Prince Rupert,286,1694,191,252,2016-11-12,2016-11-10
Vancouver,2005,5480,479,893,2016-11-12,2016-11-10
Prince Rupert,378,1638,191,157,2016-11-13,2016-11-11
Vancouver,1811,5552,499,780,2016-11-13,2016-11-11
Prince Rupert,501,1439,192,51,2016-11-14,2016-11-12
Vancouver,1744,5443,527,601,2016-11-14,2016-11-12
Prince Rupert,778,1475,37,312,2016-11-15,2016-11-13
Vancouver,1753,5526,611,780,2016-11-15,2016-11-13
Prince Rupert,716,1390,81,204,2016-11-16,2016-11-14
Vancouver,1854,5690,450,1030,2016-11-16,2016-11-14
Western Canada,0,1,0,1,2016-11-16,2016-11-14
Prince Rupert,783,1337,47,202,2016-11-17,2016-11-15
Vancouver,2146,5281,471,538,2016-11-17,2016-11-15
Western Canada,1,1,0,0,2016-11-17,2016-11-15
Prince Rupert,896,1128,48,104,2016-11-18,2016-11-16
Vancouver,2117,5439,399,919,2016-11-18,2016-11-16
Western Canada,1,1,0,0,2016-11-18,2016-11-16
Prince Rupert,615,1113,48,97,2016-11-19,2016-11-17
Vancouver,2044,5617,402,957,2016-11-19,2016-11-17
Western Canada,0,1,0,0,2016-11-19,2016-11-17
Prince Rupert,604,1198,49,306,2016-11-20,2016-11-18
Vancouver,1757,5293,613,347,2016-11-20,2016-11-18
Western Canada,0,1,0,0,2016-11-20,2016-11-18
Prince Rupert,734,1205,4,300,2016-11-21,2016-11-19
Vancouver,1779,5842,601,1297,2016-11-21,2016-11-19
Western Canada,1,1,0,0,2016-11-21,2016-11-19
Prince Rupert,765,940,8,50,2016-11-22,2016-11-20
Vancouver,1771,5725,552,540,2016-11-22,2016-11-20
Western Canada,1,1,0,0,2016-11-22,2016-11-20
Prince Rupert,655,780,3,1,2016-11-23,2016-11-21
Vancouver,2070,5631,487,830,2016-11-23,2016-11-21
Western Canada,0,1,0,0,2016-11-23,2016-11-21
Prince Rupert,741,608,4,101,2016-11-24,2016-11-22
Vancouver,1923,5946,311,971,2016-11-24,2016-11-22
Western Canada,0,1,0,0,2016-11-24,2016-11-22
Prince Rupert,687,585,4,253,2016-11-25,2016-11-23
Vancouver,2015,6193,174,1048,2016-11-25,2016-11-23
Western Canada,0,1,0,0,2016-11-25,2016-11-23
Prince Rupert,529,827,5,243,2016-11-26,2016-11-24
Vancouver,1939,5857,251,298,2016-11-26,2016-11-24
Western Canada,0,1,0,0,2016-11-26,2016-11-24
Prince Rupert,298,910,4,204,2016-11-27,2016-11-25
Vancouver,1761,6028,340,892,2016-11-27,2016-11-25
Western Canada,2,1,0,0,2016-11-27,2016-11-25
Prince Rupert,283,1081,3,334,2016-11-28,2016-11-26
Vancouver,1968,6009,282,834,2016-11-28,2016-11-26
Western Canada,2,1,0,0,2016-11-28,2016-11-26
Prince Rupert,522,953,3,115,2016-11-29,2016-11-27
Vancouver,2154,5646,450,562,2016-11-29,2016-11-27
Western Canada,0,2,0,1,2016-11-29,2016-11-27
Prince Rupert,551,803,4,0,2016-11-30,2016-11-28
Vancouver,1980,5960,342,838,2016-11-30,2016-11-28
